adiposity	adiposity.coefficient.of.variation	average.adiposity..liver.	average.fat.mass..liver.	average.lean.mass..liver.	average.total.mass..liver.	Body.Weight	Col.C22.6.	fat.mass	FFA.C14.0.	FFA.C16.0.	FFA.C16.1.	FFA.C18.0.	FFA.C18.1.	FFA.C18.2.	FFA.C18.3.	FFA.C20.1.	FFA.C20.2.	FFA.C20.3.a	FFA.C20.3.b	FFA.C20.4.	FFA.C20.5.	FFA.C22.4.	FFA.C22.5.	FFA.C22.6.	FFA.C24.4.	FFA.C24.5.	FFA.C24.6.	fibrosed.area	free.fatty.acids	free.fatty.acids..pre.bleed.	free.fluid	G.CSF	Glucose	Glucose..pre.bleed.	GM.CSF	Gonadal.Fat	GRAN	GRAN..	HCT	HDL	HDL..pre.bleed.	HGB	HOMA.IR	HOMA.IR..pre.bleed.	IFNr	IL.10	IL.12..p40.	IL.12..p70.	IL.13	IL.15	IL.1a	IL.1b	IL.2	IL.4	IL.6	IL.7	Insulin	Insulin..pre.bleed.	IP.10	KC	Kidney..left.	lean.mass	lesion.area	Liver...body.weight	Liver.collagen	Liver.Total	LiverHist	LiverLipids	LiverMetab	LiverNMR	LiverResidual	LiverRNA	LiverSpare	LYM	LYM..	M.CSF	MCH	MCHC	MCP.1	MCV	MIG	MIP.1a	MIP.1b	MIP.2	MONO	MONO..	MPV	phospholipids..liver.	PLT	RANTES	RBC	RBC.Time	RDW..	RDWa	Spleen	TNFa	total.cholesterol	total.cholesterol..liver.	total.cholesterol..pre.bleed.	total.liver.weighed	triglycerides	triglycerides..liver.	triglycerides..pre.bleed.	unesterified.cholesterol	unesterified.cholesterol..liver.	unesterified.cholesterol..pre.bleed.	VLDL.LDL	VLDL.LDL..pre.bleed.	WBC	WBC.Time
1207	0.307700236785373	0.015667243	0.226686105	0.415666667	1.418	1.833666667	31.4	NA	10.4479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	116	34	0.292057	346	456	217	0	1.218	1.7	30.8	33.2	0	10	12	24.76530793	4.313553807	0	0	0	0	67.48	0	0	0	0	0	0	0	918	336	283	637	0.142	23.5069	249500	0.085573248	0.133	2.687	0.16	0.104	0.25	1.75	0	0.09	0.2	3.4	61.7	0	14.3	36.1	77.47	39.7	147	121	62.9	0	0.5	7.5	6	NA	92	0	8.37	16.06	18.4	26.2	0.13	7.4	1934	NA	124	NA	1062	NA	339	624	NA	47	1934	114	5.6	10.72
1206	0.330436458763596	0.023950238	0.202537856	0.319333333	1.257333333	1.576666667	32.78	NA	11.9998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	140	39	0.322861	164	552	212	0	1.433	2.1	29.1	36.6	0	8	13.6	35.98793114	7.123942495	0	0	0	0	0	2418	0	0	0	0	0	0	1102	568	212	304	0.136	24.3152	280250	0.07699817	0.175	2.524	0.11	0.129	0.24	1.54	0	0.08	0.25	4.7	65	0	14.9	37.2	0	40	121	24.96	0	0	0.5	5.9	5.7	NA	334	0	9.15	16	19.4	27.3	0.12	0	1624	NA	124	NA	1328	NA	342	600	NA	50	1624	116	7.3	10.74
1205	0.212026930400752	0.02360484	0.107510032	0.087333333	0.725	0.812333333	27.19	NA	5.79117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.344660468	144	45	0.394486	583	452	136	0	0.816	1	28.6	31.7	0	9	11.9	38.64047802	2.816068154	0	0	0	0	0	0	0	0	0	0	0	0	1445	350	216	72.45	0.141	21.5222	233250	0.057190143	0.151	1.555	0.09	0.104	0.19	0.76	0	0.06	0.2	2.4	64.5	0	15.1	37.7	0	40.1	169	0	0	0	0.4	6.9	6	NA	130	0	7.89	16.05	18.1	26.4	0.112	0	1756	NA	94	NA	1014	NA	384	596	NA	37	1756	85	3.8	10.69
1199	0.24492135820314	0.010620965	0.13667235	0.154666667	0.977	1.131666667	27.37	4.24078014242169	6.80152	NA	46.151985486797	7.02479338842975	14.2420882886515	352.515621850433	22.5408183833904	NA	4.05966539004233	1.14593831888732	3.76839346905866	12.8411610562387	116.183229187664	1.0431364644225	5.43942753477122	7.45414231001814	14.6422092320097	NA	NA	NA	0.119839605	168	41	0.377771	143	488	201	0	0.716	1.8	18.9	40.8	119	7	14.2	35.13553807	8.83529551	0	0	0	0	0	40.39	0	0	0	0	0	0	1217	743	230	190	0.126	20.9687	155000	0.067226891	0.159	1.84	0.09	0.121	0.16	1.09	0	0.08	0.14	7.3	75.3	0	13.2	34.8	0	38.1	118	0	0	0	0.6	5.8	6	12.6	367	0	10.7	15.99	20.2	26.5	0.12	0	1357	43.1	135	NA	882	140	491	504	3.5	52	1238	128	9.7	10.7
1195	0.216273737433124	0.128883501	0.126315294	0.1255	0.868	0.9935	25.7	5.3612735025508	5.5179	NA	46.5056823170834	6.26871592471388	16.280582758608	378.597333971531	21.6279412002941	NA	4.48154378564934	NA	4.69826971841829	13.0993945695724	110.555274438061	NA	4.54253198783558	6.47237295701435	13.6275959635067	NA	NA	NA	0.380061028	152	58	0.301548	190	476	158	0	0.628	1.9	23.5	40.4	62	18	14.9	11.91196829	7.440572679	0	0	0	0	96.35	0	0	0	0	0	0	52.64	423	796	244	145	0.128	19.9956	327000	0.06536965	0.119	1.68	0.12	0.121	0.15	0.96	0	0.08	0.13	5.7	70.1	0	15.2	36.9	0	41.4	107	0	0	0	0.6	6.4	6.3	12.8	400	0	9.76	15.98	18.5	27.7	0.123	0	1286	41.4	135	NA	766	162	319	456	3.4	40	1224	117	8.2	10.72
1183	0.306691111675932	0.072490831	0.119936272	0.1795	1.317	1.4965	29.87	19.0006093054874	9.50832	NA	61.751302607579	6.23549456671711	19.9727517366085	430.150514710539	NA	NA	7.59668662628571	NA	5.54706500104497	14.4745311358053	138.818550264563	NA	7.32573844381234	7.86487003138691	15.7527798742086	0.608251021878997	NA	NA	0.283758999	100	45	0.208183	192	396	194	0	0.984	3.2	34.3	38.4	47	6	13.6	29.72987044	7.196237354	0	0	0	0	53.52	0	0	0	0	0	0	125	1269	627	327	0	0.125	21.4946	371750	0.077703381	0.121	2.321	0.15	0.1	0.18	1.48	0	0.12	0.17	5.5	58.2	0	13.5	35.5	0	38	96.04	0	70.84	0	0.8	7.5	6.3	15	83	0	10.09	16.12	19	25.2	0.121	0	1865	61	192	NA	690	153	589	536	5.1	83	1818	186	9.5	10.73
1182	0.252262430784719	0.020905619	0.089138738	0.1075	1.0985	1.206	26.64	15.1829826541471	6.7653	NA	81.8378521463315	9.1001668707748	28.92914145198	540.691884036841	35.5395263725655	NA	9.26202754634194	2.19622720573454	6.32314547624052	15.2402934132041	148.755250410763	NA	8.40406017454488	9.94861302636203	19.5481147916969	NA	NA	NA	0.388510146	88	42	0.221437	353	304	217	0	0.626	1.4	26.4	36.1	29	8	12.8	19.9093652	6.881145359	0	0	0	0	27.15	0	0	0	0	0	0	0	1107	536	261	34.62	0.114	20.0532	332500	0.074249249	0.139	1.978	0.13	0.109	0.15	1.21	0	0.07	0.17	3.7	67.1	0	13.5	35.5	0	37.9	68.71	32.81	50.08	0	0.4	6.5	5.5	11.8	451	0	9.5	16.11	20.5	26.5	0.129	0	1422	53.2	134	NA	745	111	453	400	3.7	60	1393	126	5.5	10.73
1179	0.204938207616341	0.015256449	0.15864606	0.256	1.359333333	1.615333333	31	NA	6.48454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	112	34	0.329837	262	480	147	0	0.756	1.8	27.9	35.5	0	8	12.4	9.910666746	3.669999408	0	9.6	0	0	0	0	0	12.89	0	0	0	0	349	422	259	1152	0.163	25.1569	86250	0.089419355	0.165	2.772	0.14	0.107	0.2	1.87	0	0.08	0.21	4.3	65.5	0	14.4	35	71.05	41.1	116	49.78	0	0	0.4	6.6	6.2	NA	102	72.74	8.63	15.95	18.6	27.9	0.201	6.99	1334	NA	91	NA	1146	NA	273	520	NA	37	1334	83	6.5	10.76
1178	0.316787703997128	0.024270123	0.180895412	0.295666667	1.347	1.642666667	32.23	NA	10.9402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.234491069	88	47	0.00286009	272	392	192	0	1.055	2	26.3	38.9	30	8	13.8	24.67538307	12.86966811	0	0	0	0	53.52	2847	0	0	0	0	14.24	275	1064	1133	254	891	0.157	23.5946	197500	0.093329196	0.143	3.008	0.2	0.115	0.22	1.98	0	0.11	0.24	5.2	66.4	0	13.6	35.4	21.12	38.4	238	0	163	0	0.6	7.3	5.7	12	407	0	10.14	15.94	20.4	26.8	0.151	6.99	1405	50.8	155	NA	721	148	409	464	4.2	58	1375	147	7.8	10.75
1177	0.284760897596965	0.021006432	0.195680207	0.417333333	1.723666667	2.141	34.72	NA	10.3131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.751392778	72	41	0.1112	287	376	224	0	0.982	3.9	35.8	34.7	27	7	12.4	25.49227948	9.051174348	0	5.84	0	17.74	0	0	0	0	0	0	12.42	0	1146	683	388	543	0.175	25.9036	180000	0.126497696	0.142	4.392	0.23	0.11	0.24	2.54	0.74	0.11	0.28	6.1	55.7	0	13.4	35.8	0	37.5	313	32.81	213	0	0.9	8.5	7	10.3	114	19.45	9.25	15.99	19.8	25.8	0.226	7.81	1491	43.4	165	NA	1278	135	468	552	3.3	64	1464	158	10.9	10.75
1174	0.195826198520073	0.024761534	0.143483467	0.271333333	1.619666667	1.891	29.53	NA	6.09314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.528879117	84	37	0.0121983	303	312	163	0	0.37	1.6	34.9	37	39	11	13	5.09448027	3.269064663	0	0	0	0	0	0	0	0	0	0	6.65	0	276	339	279	339	0.143	25.0219	157250	0.098882492	0.159	2.92	0.18	0.101	0.23	1.95	0	0.12	0.18	2.7	57.8	0	13.9	35.3	0	39.3	88.27	0	35.82	0	0.4	7.3	5.6	14.4	604	0	9.4	15.97	21.1	28.1	0.173	6.17	1183	59.2	100	NA	534	133	313	400	4.5	36	1144	89	4.7	10.76
1168	0.236322250637526	0.014484064	0.168956042	0.25	1.232	1.482	27.37	NA	6.49721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.430534211	76	41	0.124612	82.86	344	197	0	0.72	1.7	33.9	34.4	37	13	12.5	17.15624445	2.482458735	0	0	0	0	0	0	0	0	0	0	0	0	843	213	190	1865	0.126	20.9958	163000	0.093533065	0.143	2.56	0.18	0.087	0.21	1.67	0	0.09	0.18	3.1	59.7	0	14.1	36.5	31.37	38.6	57.68	32.81	25.09	0	0.4	6.4	6.4	13.3	74	0	8.9	15.94	18.8	25.6	0.112	0	901	69.8	97	NA	430	194	253	336	4.6	33	864	84	5.2	10.7
1167	0.227588523801441	0.020984907	0.160131952	0.189	0.991	1.18	22.77	NA	5.18923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.936056331	72	44	0.0730031	238	276	195	0	0.548	3.4	32.2	31.9	43	12	11.6	11.42992368	9.725196711	0	0	0	0	53.52	32.2	0	0	0	0	0	0	700	843	217	425	0.097	17.6117	148500	0.091567852	0.158	2.085	0.13	0.107	0.13	1.33	0	0.07	0.16	6.6	60.8	0	13.6	36.4	21.12	37.6	71.65	32.81	54.49	0	0.8	7	6.1	12.4	77	8.53	8.49	16.01	18.7	24.7	0.095	0	678	54.6	72	NA	197	152	228	280	3.9	23	635	60	10.8	10.72
1166	0.175263381361022	0.022476503	0.137879425	0.12	0.750333333	0.870333333	23.25	NA	4.06182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132	39	0.361758	192	472	161	55.41	0.454	0.7	23.3	39.4	85	13	14.4	11.53262734	9.353487547	0	0	0	0	156	0	0	0	43.1	0	0	0	413	982	226	709	0.11	19.1137	194000	0.067311828	0.184	1.565	0.09	0.091	0.15	0.84	0	0.06	0.15	2.3	70	0	14.7	36.5	21.12	40.3	126	212	38.32	0	0.3	6.7	6.1	NA	145	10.99	9.78	15.95	17.8	26.2	0.1	0	1032	NA	103	NA	387	NA	199	380	NA	30	947	90	3.3	10.7
1149	0.130917455268615	0.02703139	0.117007729	0.182333333	1.376	1.558333333	24.82	7.93852979382749	3.22769	NA	119.498736563588	17.0330022707561	30.7414608866216	690.836192974798	58.765101118946	NA	17.1896561602536	4.12107480730898	13.4241608164071	34.9885218907751	231.731716538102	1.45795868585207	17.4242225662207	11.7266625852388	24.2142154908939	0.979708451777799	0.798188865534704	NA	1.120922423	68	32	0.450885	234	332	190	0	0.245	2.3	24.7	38.1	33	5	13.7	7.05129267	9.138614447	0	0	0	0	67.48	0	0	0	0	0	0	0	359	813	229	488	0.135	21.4267	130500	0.100564061	0.13	2.496	0.15	0.116	0.19	1.59	0	0.1	0.22	6.3	68.7	0	13.7	35.9	0	38.3	116	16.09	89.13	0	0.6	6.6	5.6	11.1	437	0	9.95	15.99	20.3	26.6	0.137	0	1152	46.8	98	NA	342	86	231	412	3.7	36	1119	93	9.2	10.72
1148	0.21026967902032	0.01649979	0.143078939	0.303666667	1.818666667	2.122333333	26.99	NA	5.63827	NA	151.945565658267	31.6185348020737	35.3551029170021	733.039594357253	74.3360152398856	1.19142527995554	18.6313070086268	4.752625438893	17.117604651653	51.3974251016584	321.684825587995	1.75598703301387	20.305763325259	15.6146705025031	37.5341266859588	NA	1.29833820049383	NA	0.786687706	64	43	0.171554	146	360	194	0	0.48	0.5	26.3	28	30	9	10.7	8.646985742	2.720108856	0	0	0	0	40.02	786	0	0	0	0	10.78	5.78	406	237	334	824	0.148	21.1762	252500	0.113301223	0.132	3.058	0.17	0.106	0.2	2.15	0	0.09	0.21	1.3	66.7	0	14.5	38.4	0	37.8	134	24.96	62.9	0	0.1	7	6.3	13	62	0	7.4	16.01	19.2	25.4	0.174	6.17	1398	51.7	116	NA	728	126	235	540	4.3	37	1368	107	1.9	10.71
1144	0.167270936278106	0.068276683	0.083188879	0.1165	1.284	1.4005	28.9	13.7689782420912	4.77506	NA	166.850022858825	22.0608931330615	45.3588797489945	844.04483382861	77.0468744483192	NA	19.9602027269485	5.05495709606303	16.8957090035468	74.8468886153777	431.733782948289	2.00503884815908	25.5672059574888	27.7325750361231	37.1793050931016	1.42293079546773	1.66889194449225	NA	0.995204257	160	35	0.458259	201	532	189	0	0.463	2.9	29.8	34	35	8	11.8	9.725374194	5.188191445	0	0	0	0	0	143	0	0	0	0	0	0	309	464	188	159	0.153	23.7718	187000	0.07467128	0.135	2.158	0.13	0.113	0.12	1.42	0	0.08	0.16	6.3	63.2	0	14.4	34.8	0	41.4	54.25	0	0	0	0.7	7	6.1	14.5	162	0	8.22	15.99	18.3	27.4	0.176	0	1415	53.2	66	NA	621	105	157	556	4.7	22	1380	58	9.9	10.73
1143	0.160269301515799	0.024510539	0.089301938	0.129666667	1.322333333	1.452	27.9	40.8524711489196	4.46371	NA	119.932889506783	11.5134034374009	46.1900740851326	738.114829622856	65.231539365891	1.06718980349712	20.1191520331424	3.87162464776905	13.6136679605128	NA	419.009332953888	1.66551589004796	27.3952871032153	21.0323865862989	33.5325032190643	1.89819825703995	0.959596077406834	NA	0.568037301	72	26	0.647763	146	336	206	0	0.413	1.3	32.8	30.8	31	6	10.9	7.056735491	3.814589126	0	0	0	11.99	0	0	0	0	0	0	0	0	355	313	224	222	0.16	23.3876	94750	0.082903226	0.157	2.313	0.12	0.086	0.19	1.5	0	0.08	0.18	2.4	58.3	0	14.7	35.6	0	41.4	62.72	16.09	0	0	0.5	8.9	6.5	13.7	65	5.48	7.44	15.99	18.2	27.3	0.217	0	1048	53	82	NA	377	101	190	368	4.8	31	1017	76	4.2	10.71
1134	0.194968327138884	0.055019842	0.088355337	0.076333333	0.787666667	0.864	23.94	NA	4.76789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.843499714	66	46	0.186114	529	220	226	0	0.385	2.1	23.5	37	40	8	12.8	7.184523457	8.463468023	0	0	0	0	248	0	0	0	0	0	5.59	0	552	633	238	78.4	0.123	19.6868	301500	0.05952381	NA	1.425	0.11	0.105	0.16	0.82	0	0.09	0.14	6.4	70.2	0	13.9	34.7	0	40.1	106	16.09	40.77	0	0.6	6.3	5.7	14.5	270	17.06	9.24	15.99	18.4	26.2	0.118	0	952	49.9	231	NA	180	106	402	272	4.3	87	912	223	9.1	10.76
1132	0.280002986167645	0.029667245	0.106850571	0.111333333	0.930666667	1.042	25.18	13.6959599867705	7.8764	NA	107.863493142286	NA	28.2913089404178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.461887355	95	55	0.0832526	186	337	215	0	0.63	1.8	19	38.7	35	10	13.3	19.47873159	8.382239839	0	0	0	0	0	0	20.44	0	0	0	0	0	977	659	231	743	0.12	20.2533	229250	0.069062748	NA	1.739	0.1	0.099	0.17	1.05	0	0.07	0.25	7	74	0	14.1	34.5	26.29	40.8	98.42	133	66.92	0	0.7	7	6.2	15.8	314	0	9.47	16.01	17.8	26.4	0.132	0	1120	53.2	215	NA	356	134	455	372	4.9	84	1085	205	9.5	10.75
1131	0.230035181210883	0.042974686	0.103432125	0.071333333	0.618333333	0.689666667	22.45	NA	5.32502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.139649164	78	44	0.388254	284	257	158	0	0.62	2.7	22.6	35.7	43	9	12.5	7.967106431	4.355913152	0	0	0	0	27.15	0	0	0	0	0	0	0	524	466	260	1038	0.107	17.8237	275250	0.058619154	NA	1.316	0.11	0.096	0.19	0.67	0	0.09	0.16	8.3	69.5	0	14.2	35	0	40.6	111	16.09	0	0	1	7.9	6.5	12.8	212	0	8.8	15.96	17.7	26.4	0.103	0	872	37.9	155	NA	256	134	185	272	3.7	50	829	146	12	10.74
1130	0.281948627235345	0.039099799	0.141350599	0.214	1.3	1.514	28.35	7.63631817418069	8.34253	NA	136.060896583535	23.9773864631877	36.1225900502853	670.073308913473	NA	NA	10.1961893364999	2.55848398791271	10.9621694293187	50.633861952941	363.96667302247	1.98584021659867	16.3857135721016	14.8252132628133	29.1394662473642	1.17290701712875	NA	NA	0.524250148	198	52	0.143051	441	483	184	0	0.804	2.9	25.5	38.3	0	8	13.6	27.37466722	2.939123233	0	0	0	0	0	0	0	0	0	0	0	0	958	270	290	1544	0.13	21.2463	193000	0.081657848	NA	2.315	0.21	0.095	0.18	1.51	0	0.08	0.24	7.8	67.3	0	14.1	35.7	60	39.6	128	74.77	129	0	0.9	7.2	6	15	150	13.43	9.66	15.96	18.9	26.4	0.141	0	1472	51.3	195	NA	1100	147	420	708	4.7	73	1472	187	11.6	10.7
1117	0.312130635709241	0.005353701	0.168076624	0.212	1.049333333	1.261333333	29.87	3.61319473389413	10.0772	NA	132.289994756511	20.9584909310061	30.9848220893461	678.11869660753	63.0547403884031	1.06506041963855	13.988145016342	3.34386791155826	15.3674509855372	38.2209058512864	424.250473176379	1.59231805312298	13.0570080356084	12.4474982113004	31.9539216196905	NA	NA	NA	0.715118783	75	66	0.246466	290	272	206	0	1.179	1.2	36.5	34.2	52	14	12.3	10.20221262	10.87096965	0	0	0	0	67.48	0	0	0	0	0	0	0	634	892	363	302	0.166	22.208	222000	0.067592903	NA	2.019	0.14	0.109	0.22	1.23	0	0.09	0.23	1.9	55.6	0	14.7	35.9	46.08	41.1	148	0	19.16	0	0.3	7.9	6.4	13.2	108	46.7	8.34	15.96	18	26.9	0.208	6.99	836	59	156	NA	232	203	366	288	4.6	55	784	142	3.4	10.76
1116	0.307811019358332	0.007423018	0.180950313	0.266	1.204	1.47	31.15	NA	10.2321	NA	101.749685373748	18.474423518323	28.5562512037048	570.054747404229	69.0353249948052	1.00282642561206	10.6928475451019	NA	14.9630431556458	37.5955758492069	NA	1.77949614989914	10.7414513975796	11.4695172693889	30.8565029158654	NA	NA	NA	0.621129787	79	69	0.247963	428	273	183	0	1.125	2.7	38.4	34.4	67	20	12.5	13.37301071	3.529432645	0	0	0	0	126	0	0	0	0	0	0	0	828	326	249	232	0.127	23.0094	319250	0.067865169	NA	2.114	0.09	0.114	0.19	1.42	0	0.09	0.21	3.8	54.4	0	14.7	36.4	0	40.5	115	32.81	0	0	0.6	7.2	5.9	12.6	92	0	8.51	15.94	17.6	26.1	0.162	0	836	48.1	224	NA	220	175	332	272	4.3	65	769	204	7.1	10.7
1111	0.152433007176766	0.010146343	0.111439747	0.176	1.403333333	1.579333333	27.84	NA	4.30658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76	36	0.308885	300	205	197	0	0.396	1.8	31	36.6	35	6	12.3	2.583269242	5.570963734	0	0	0	0	0	0	0	0	0	0	0	0	213	478	358	307	0.134	23.9457	93750	0.08987069	NA	2.502	0.19	0.122	0.22	1.61	0	0.09	0.27	3.7	62.5	0	14	33.7	0	41.6	57.68	0	0	0	0.5	6.5	5.7	NA	348	0	8.79	15.93	19.4	28.5	0.202	0	904	NA	96	NA	428	NA	172	368	NA	38	869	90	6	10.7
1106	0.469989714035861	0.016559481	0.279997042	0.816	2.098333333	2.914333333	49.91	NA	26.2274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.299345816	31	54	0.41104	563	237	199	0	4.511	2.7	27.6	34.2	168	49	11.7	61.27255517	15.85830918	0	0	0	0	40.02	0	84.57	0	0	0	0	0	4370	1347	220	311	0.2	29.5768	0	0.082508515	NA	4.118	0.23	0.118	0.22	2.83	0.37	0.1	0.25	6.3	64.9	0	13.6	34.3	21.12	39.6	144	0	0	0	0.8	7.5	6.1	10.8	113	0	8.64	16.04	18.2	25.9	0.158	0	208	35.5	79	NA	10	216	32	49	3.3	13	40	30	9.8	10.72
1105	0.316437936972262	0.004826216	0.198212801	0.525	2.123666667	2.648666667	34.99	NA	12.2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.905842089	62	44	0.272684	504	236	216	0	1.384	3.2	24.5	35.9	34	11	13.1	11.83979175	7.105010945	0	0	0	0	81.79	0	0	0	0	0	13.94	0	848	556	291	656	0.16	26.3587	69250	0.11266076	NA	3.942	0.26	0.112	0.27	2.61	0.35	0.11	0.23	9.1	69.2	0	13.4	36.5	26.29	36.7	98.42	0	0	0	0.8	6.3	5.7	12.6	462	0	9.77	15.91	21.3	26.4	0.183	5.34	688	43.3	109	NA	580	171	249	276	3.7	42	654	98	13.1	10.75
1091	0.296790268393121	0.057836998	0.127501433	0.139	0.951333333	1.090333333	30.16	NA	9.52573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.857690549	45	64	0.143007	267	190	179	0	1.184	1.8	29	39.2	62	21	14.3	17.20937112	6.565698397	0	0	0	0	248	0	0	0	0	0	0	0	1531	620	233	788	0.134	22.5701	64500	0.057824934	NA	1.744	0.13	0.114	0.18	1.07	0	0.08	0.17	3.9	60.8	0	15.9	36.5	15.86	43.5	43.3	149	19.16	0	0.7	10.2	5.7	14.6	66	10.99	9.02	15.93	16.4	27	0.102	0	620	56.6	157	NA	160	158	373	180	4.6	50	558	136	6.4	10.68
1084	0.311673103618896	0.025950133	0.148979834	0.179666667	1.026333333	1.206	32.16	NA	11.3382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	37	0.17982	616	265	170	0	1.159	3.6	34.1	36	51	14	13.3	8.622729693	5.823226646	0	0	0	46.57	0	0	0	0	0	0	0	0	550	579	245	169	0.147	25.0403	201250	0.094309701	NA	3.033	0.23	0.093	0.22	2.12	0	0.11	0.26	6.2	58.9	0	13.6	37	0	36.8	94.84	0	74.67	0	0.7	7	6.8	NA	158	8.53	9.76	15.98	21.1	26.6	0.186	0	1196	NA	145	NA	600	NA	309	448	NA	49	1145	131	10.5	10.76
1083	0.341185620463187	0.015215736	0.148691795	0.310666667	1.778666667	2.089333333	30.96	NA	11.8446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81	38	0.00469854	698	257	159	25.67	1.373	1.2	34.1	34.2	45	23	12.7	9.806839023	2.191741111	0	65.76	0	90.1	0	138	0	0	0	0	54.85	13.24	645	233	269	1166	0.124	22.8714	262750	0.078229974	NA	2.422	0.17	0.102	0.17	1.7	0	0.06	0.22	2	58.4	0	13	37.3	131	35	88.27	0	99.23	0	0.3	7.5	6.5	NA	178	0	9.75	15.99	20.5	24.1	0.133	0	864	NA	213	NA	396	NA	259	328	NA	64	819	190	3.5	10.76
1082	0.336370484740571	0.001646501	0.176216792	0.299333333	1.399333333	1.698666667	29.93	NA	10.8057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87	49	0.16529	1665	287	156	0	1.424	2.1	35.3	34.6	39	26	12.7	13.07401053	3.747027155	0	0	0	0	0	0	0	0	0	0	9.46	6.23	770	406	280	1693	0.129	21.3187	250000	0.063347812	NA	1.896	0.14	0.076	0.18	1.21	0	0.08	0.21	3.5	57.3	0	13.7	36.8	169	37.3	87.52	0	0	0	0.5	7.4	6.3	NA	117	0	9.28	16.01	18.9	24.7	0.098	6.17	1068	NA	144	NA	388	NA	266	368	NA	47	1029	118	6.1	10.78
1081	0.417257650458385	0.017306109	0.19267125	0.334666667	1.402333333	1.737	35.21	NA	16.5625	1.00635631999464	188.32480238832	53.0803993359914	38.9634306062056	904.368309251898	97.3544813657832	1.51093349248499	14.9339920257221	NA	20.1028768500133	38.1501380102508	492.430946025772	3.17109498422777	21.7173372669834	11.4896232678535	60.5548567488153	1.18822794409005	NA	NA	0.850903281	62	51	-0.109147	355	260	145	0	1.869	1.2	22.6	35	36	19	13.4	33.4555996	3.534283855	0	0	0	0	0	0	0	0	0	0	0	0	2175	412	210	526	0.111	23.1312	64500	0.069923317	NA	2.462	0.17	0.082	0.18	1.74	0	0.08	0.21	3.9	69.3	0	15.1	38.4	15.86	39.4	70.32	0	0	0	0.5	8.1	5.8	12.9	443	0	8.88	15.98	20	26.9	0.121	0	824	51.1	135	NA	524	174	337	300	4.2	46	788	116	5.6	10.76
1080	0.313796433823798	0.05142122	0.168657138	0.141333333	0.696666667	0.838	25.41	NA	8.5775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27881584	43	51	0.00517893	301	225	175	0	0.845	1.3	19.6	31.9	43	20	12.1	6.322842099	3.934212862	0	0	0	0	81.79	0	0	0	0	0	0	0	475	380	178	268	0.101	18.7571	28500	0.055726092	NA	1.416	0.12	0.086	0.15	0.82	0	0.08	0.16	4.9	71.1	0	14.4	37.9	15.86	37.9	56.54	0	0	0	0.7	9.3	5.7	16.4	117	0	8.41	16.02	18.3	24.5	0.105	0	536	51.7	147	NA	180	188	307	144	4.6	47	493	127	6.9	10.78
